group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.26
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.26	0.52
isti	2	مِنَ		0.00	0.00	spread	0.52	0.78
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.78	1.04
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	1.04	1.30
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.30	1.56
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	1.60	2.06
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	1.00	rec	2.08	3.28
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.97	rec	3.30	4.80
1	0	ٱقْرَأْ	اقْرَأْ	1.00	0.99	rec	5.48	6.02
1	1	بِٱسْمِ	بِاسْمِ	1.00	1.00	rec	6.06	6.38
1	2	رَبِّكَ	رَبِّكَ	1.00	1.00	rec	6.48	7.06
1	3	ٱلَّذِى	الَّذِي	1.00	1.00	rec	7.12	7.56
1	4	خَلَقَ	خَلَقَ	1.00	0.99	rec	7.82	8.30
2	0	خَلَقَ	خَلَقَ	1.00	1.00	rec	9.16	9.60
2	1	ٱلْإِنسَٰنَ	الْإِنْسَاعنَ	0.88	0.99	rec	9.66	11.30
2	2	مِنْ	مِنْ	1.00	1.00	rec	11.40	11.78
2	3	عَلَقٍ	عَلَقٍ	1.00	1.00	rec	11.86	12.36
3	0	ٱقْرَأْ	اقْرَأْ	1.00	1.00	rec	13.02	13.58
3	1	وَرَبُّكَ	وَرَبُّكَ	1.00	1.00	rec	13.66	14.54
3	2	ٱلْأَكْرَمُ	الْأَكْرَمُ	1.00	1.00	rec	14.60	15.50
4	0	ٱلَّذِى	الَّذِي	1.00	1.00	rec	15.60	16.16
4	1	عَلَّمَ	عَلَّمَ	1.00	1.00	rec	16.48	17.12
4	2	بِٱلْقَلَمِ	بِالْقَلَمِ	1.00	1.00	rec	17.28	18.16
5	0	عَلَّمَ	عَلَّمَ	1.00	1.00	rec	18.32	18.96
5	1	ٱلْإِنسَٰنَ	الْإِنْسَانَ	1.00	1.00	rec	19.02	20.74
5	2	مَا	مَعَ	0.50	0.99	rec	20.86	21.22
5	3	لَمْ	لَمْ	1.00	1.00	rec	21.36	21.66
5	4	يَعْلَمْ	يَعْلَمْ	1.00	1.00	rec	21.78	22.52
6	0	كَلَّآ	كَلَّا	1.00	1.00	rec	23.40	23.86
6	1	إِنَّ	إِنَّ	1.00	1.00	rec	24.18	24.86
6	2	ٱلْإِنسَٰنَ	الْإِنْسَانَ	1.00	1.00	rec	24.90	26.48
6	3	لَيَطْغَىٰٓ	لَيَطْغَىٰ	1.00	0.99	rec	26.60	27.34
7	0	أَن	أَنْ	1.00	1.00	rec	28.38	28.56
7	1	رَّءَاهُ	رَئِيهُ	0.50	1.00	rec	28.64	29.34
7	2	ٱسْتَغْنَىٰٓ	اسْتَغْنَىٰ	1.00	0.97	rec	29.40	30.30
8	0	إِنَّ	إِنَّ	1.00	1.00	rec	31.26	32.08
8	1	إِلَىٰ	إِلَىٰ	1.00	1.00	rec	32.20	32.52
8	2	رَبِّكَ	رَبِّكَ	1.00	0.95	rec	32.76	33.36
8	3	ٱلرُّجْعَىٰٓ	الرُّدْعَىٰ	0.86	0.99	rec	33.42	34.20
9	0	أَرَءَيْتَ	أَرَأَيْتَ	0.80	0.97	rec	36.16	37.02
9	1	ٱلَّذِى	الَّذِي	1.00	1.00	rec	37.08	37.56
9	2	يَنْهَىٰ	يَنْهَىٰ	1.00	1.00	rec	37.82	38.30
10	0	عَبْدًا	عَبْدًا	1.00	1.00	rec	38.66	39.14
10	1	إِذَا	إِذَا	1.00	1.00	rec	39.42	39.76
10	2	صَلَّىٰٓ	صَلَّىٰ	1.00	1.00	rec	40.08	40.58
11	0	أَرَءَيْتَ	أَرَأَيْتَ	0.80	1.00	rec	41.62	42.36
