group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.25
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.25	0.50
isti	2	مِنَ		0.00	0.00	spread	0.50	0.76
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.76	1.01
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	1.01	1.26
header	0	بِسۡمِ	بِسْمِ	1.00	0.99	rec	1.26	1.52
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	1.56	2.02
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.99	rec	2.06	3.02
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	3.06	4.48
1	0	وَٱلضُّحَىٰ	وَالضُّحَىٰ	1.00	1.00	rec	5.36	6.02
2	0	وَٱلَّيْلِ	وَاللَّيْلِ	0.83	0.99	rec	6.42	7.34
2	1	إِذَا	إِذَا	1.00	1.00	rec	7.50	7.82
2	2	سَجَىٰ	سَجَا	0.75	0.99	rec	8.14	8.48
3	0	مَا	مَا	1.00	0.83	rec	8.86	8.98
3	1	وَدَّعَكَ	وَادَّعَكَ	0.80	0.99	rec	9.34	10.24
3	2	رَبُّكَ	رَبُّكَ	1.00	1.00	rec	10.34	11.04
3	3	وَمَا	وَمَا	1.00	1.00	rec	11.14	11.50
3	4	قَلَىٰ	قَلَىٰ	1.00	0.99	rec	11.88	12.18
4	0	وَلَلْءَاخِرَةُ	وَلَلْآخِرَةُ	0.88	1.00	rec	13.40	14.78
4	1	خَيْرٌۭ	خَيْرٌ	1.00	1.00	rec	14.96	15.48
4	2	لَّكَ	لَكَ	1.00	1.00	rec	15.76	16.08
4	3	مِنَ	مِنَ	1.00	1.00	rec	16.22	16.46
4	4	ٱلْأُولَىٰ	الْأُولَىٰ	1.00	1.00	rec	16.52	17.38
5	0	وَلَسَوْفَ	وَلَسَوْفَ	1.00	1.00	rec	18.48	19.38
5	1	يُعْطِيكَ	يُعْضِيكَ	0.80	0.99	rec	19.52	20.46
5	2	رَبُّكَ	رَبُّكَ	1.00	1.00	rec	20.56	21.26
5	3	فَتَرْضَىٰٓ	تَرْضَىٰ	0.83	1.00	rec	21.68	22.24
6	0	أَلَمْ	أَلَمْ	1.00	0.91	rec	23.20	23.64
6	1	يَجِدْكَ	يَجِدْكَ	1.00	0.99	rec	23.74	24.38
6	2	يَتِيمًۭا	يَتِيمًا	1.00	0.97	rec	24.50	25.26
6	3	فَـَٔاوَىٰ	فَآوَاوَ	0.60	0.98	rec	26.02	27.28
7	0	وَوَجَدَكَ	وَجَدَكَ	0.80	0.99	rec	27.40	28.14
7	1	ضَآلًّۭا	ضَالًّا	1.00	0.97	rec	28.32	30.48
7	2	فَهَدَىٰ	فَهَدَىٰ	1.00	0.98	rec	31.20	31.78
8	0	وَوَجَدَكَ	وَوَجَدَكَ	1.00	0.99	rec	32.78	33.72
8	1	عَآئِلًۭا	عَائِلًا	1.00	1.00	rec	33.86	35.72
8	2	فَأَغْنَىٰ	أَغْنَىٰطُ	0.67	0.79	rec	36.68	37.86
9	0	فَأَمَّا	فَأَمَّا	1.00	1.00	rec	38.26	39.50
9	1	ٱلْيَتِيمَ	الْيَتِيمَ	1.00	1.00	rec	39.54	40.48
9	2	فَلَا	فَلَا	1.00	1.00	rec	40.66	40.98
9	3	تَقْهَرْ	تَقْهَرُ	1.00	0.99	rec	41.42	42.16
10	0	وَأَمَّا	وَأَمَّا	1.00	0.99	rec	42.74	43.80
10	1	ٱلسَّآئِلَ	السَّائِلَ	1.00	1.00	rec	43.86	46.12
10	2	فَلَا	فَلَا	1.00	1.00	rec	46.30	46.62
10	3	تَنْهَرْ	تَنْهَرْ	1.00	1.00	rec	47.04	47.74
11	0	وَأَمَّا	وَأَمَّا	1.00	1.00	rec	48.32	49.50
11	1	بِنِعْمَةِ	بِنِعْمَةِ	1.00	0.99	rec	49.86	50.76
11	2	رَبِّكَ	رَبِّكَ	1.00	1.00	rec	50.88	51.60
11	3	فَحَدِّثْ	فَحَدِّثْ	1.00	1.00	rec	51.76	52.88
