group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.16
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.16	0.32
isti	2	مِنَ		0.00	0.00	spread	0.32	0.48
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.48	0.64
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.64	0.80
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	0.80	1.06
header	1	ٱللَّهِ	اللَّهِ	1.00	0.99	rec	1.08	1.52
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.93	rec	1.56	2.70
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.99	rec	2.76	3.98
1	0	إِنَّآ	إِنَّا	1.00	1.00	rec	4.60	5.58
1	1	أَعْطَيْنَٰكَ	أَعْطَيْنَعاكَ	0.88	0.95	rec	6.16	7.60
1	2	ٱلْكَوْثَرَ	الْكَوْثَرَ	1.00	0.99	rec	7.64	8.54
2	0	فَصَلِّ	فَصَلِّ	1.00	0.95	rec	9.08	9.74
2	1	لِرَبِّكَ	لِرَبِّكَ	1.00	0.97	rec	9.88	10.72
2	2	وَٱنْحَرْ	وَانْحَرْ	1.00	0.98	rec	10.84	11.72
3	0	إِنَّ	إِنَّ	1.00	1.00	rec	12.30	13.36
3	1	شَانِئَكَ	شَانِئَكَ	1.00	1.00	rec	13.54	14.68
3	2	هُوَ	هُوَ	1.00	1.00	rec	14.84	15.06
3	3	ٱلْأَبْتَرُ	الْأَبْتَرُ	1.00	1.00	rec	15.12	16.16
