group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.23
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.23	0.46
isti	2	مِنَ		0.00	0.00	spread	0.46	0.70
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.70	0.93
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.93	1.16
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.16	1.40
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	1.44	1.86
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.99	rec	1.90	2.88
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	2.92	4.72
1	0	سُبْحَٰنَ	سُبْحَانَ	1.00	1.00	rec	7.12	8.20
1	1	ٱلَّذِىٓ	الَّذِي	1.00	1.00	rec	8.26	8.86
1	2	أَسْرَىٰ	أَسْرَر	0.60	0.76	rec	9.32	9.86
1	3	بِعَبْدِهِۦ	بِعَبْدِهِ	1.00	1.00	rec	10.16	11.18
1	4	لَيْلًۭا	لَيْلًا	1.00	1.00	rec	11.54	11.98
1	5	مِّنَ	مِنَ	1.00	1.00	rec	12.66	12.90
1	6	ٱلْمَسْجِدِ	الْمَسْجِدِ	1.00	1.00	rec	12.94	13.90
1	7	ٱلْحَرَامِ	الْحَرَامِ	1.00	1.00	rec	13.96	14.98
1	8	إِلَى	إِلَى	1.00	1.00	rec	15.16	15.40
1	9	ٱلْمَسْجِدِ	الْمَسْجِدِ	1.00	0.96	rec	15.44	16.40
1	10	ٱلْأَقْصَا	الْأَقْصَى	0.83	1.00	rec	16.48	17.40
1	11	ٱلَّذِى	الَّذِي	1.00	1.00	rec	17.46	18.02
1	12	بَٰرَكْنَا	بَارَكْنَا	1.00	1.00	rec	18.32	19.28
1	13	حَوْلَهُۥ	حَوْلَهُ	1.00	0.99	rec	19.64	20.38
1	14	لِنُرِيَهُۥ	لِنُرِيَهُ	1.00	0.99	rec	20.74	21.68
1	15	مِنْ	مِنْ	1.00	1.00	rec	22.06	22.44
1	16	ءَايَٰتِنَآۚ	آيَاتِنَا	0.86	1.00	rec	22.52	23.84
1	17	إِنَّهُۥ	إِنَّهُ	1.00	1.00	rec	26.06	27.34
1	18	هُوَ	هُوَ	1.00	1.00	rec	27.68	27.92
1	19	ٱلسَّمِيعُ	سَّمِيعُ	0.67	0.97	rec	28.20	29.02
1	20	ٱلْبَصِيرُ	الْبَصْرِ	0.83	0.95	rec	29.08	29.72
2	0	وَءَاتَيْنَا	وَآتَيْنَا	0.86	0.95	rec	31.84	32.62
2	1	مُوسَى	مُوسَى	1.00	1.00	rec	32.86	33.24
2	2	ٱلْكِتَٰبَ	الْكِتَابَ	1.00	1.00	rec	33.28	34.20
2	3	وَجَعَلْنَٰهُ	وَجَعَلْنَاهُ	1.00	1.00	rec	34.30	35.34
