group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.23
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.23	0.46
isti	2	مِنَ		0.00	0.00	spread	0.46	0.68
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.68	0.91
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.91	1.14
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.14	1.48
header	1	ٱللَّهِ	اللَّهِ	1.00	0.94	rec	1.52	2.12
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	1.00	rec	2.18	3.30
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.96	rec	3.36	5.06
1	0	وَٱلصَّٰٓفَّٰتِ	وَالصَّاِ+فَاتِ	1.00	0.86	rec	6.00	9.70
1	1	صَفًّۭا	صَفًّا	1.00	1.00	rec	9.88	10.46
2	0	فَٱلزَّٰجِرَٰتِ	فَالزَّاجِرَاتِ	1.00	0.99	rec	11.82	13.22
2	1	زَجْرًۭا	زَجْرًا	1.00	1.00	rec	13.36	13.90
3	0	فَٱلتَّٰلِيَٰتِ	فَالتَّالِيَاتِ	1.00	1.00	rec	14.90	16.42
3	1	ذِكْرًا	ذِكْرًا	1.00	1.00	rec	16.56	17.04
4	0	إِنَّ	إِنَّ	1.00	1.00	rec	18.06	19.04
4	1	إِلَٰهَكُمْ	إِلَـٰهَكُمْ	1.00	1.00	rec	19.20	20.46
4	2	لَوَٰحِدٌۭ	لَوَاحِدٌ	1.00	1.00	rec	20.54	21.54
5	0	رَّبُّ	رَبُّ	1.00	1.00	rec	22.30	22.64
5	1	ٱلسَّمَٰوَٰتِ	السَّمَاوَاتِ	1.00	1.00	rec	22.70	23.98
5	2	وَٱلْأَرْضِ	وَالْأَرْضِ	1.00	0.96	rec	24.10	24.94
5	3	وَمَا	وَمَا	1.00	1.00	rec	25.10	25.44
5	4	بَيْنَهُمَا	بَيْنَهُمَا	1.00	1.00	rec	25.78	26.68
5	5	وَرَبُّ	وَرَبُّ	1.00	0.94	rec	26.96	27.58
5	6	ٱلْمَشَٰرِقِ	الْمَشَارِقِ	1.00	1.00	rec	27.66	29.10
6	0	إِنَّا	إِنَّا	1.00	0.97	rec	29.78	30.80
6	1	زَيَّنَّا	زَيَّنَّا	1.00	1.00	rec	31.18	32.36
6	2	ٱلسَّمَآءَ	السَّمَاءَ	1.00	1.00	rec	32.42	34.24
6	3	ٱلدُّنْيَا	الدُّنْيَا	1.00	1.00	rec	34.30	35.06
6	4	بِزِينَةٍ	بِزِينَةِ	1.00	1.00	rec	35.36	36.26
6	5	ٱلْكَوَاكِبِ	الْكَوَاكِبِ	1.00	1.00	rec	36.34	37.60
7	0	وَحِفْظًۭا	وَحِفْظًا	1.00	0.98	rec	38.26	39.08
7	1	مِّن	مِنْ	1.00	0.97	rec	39.96	40.78
7	2	كُلِّ	كُلِّ	1.00	1.00	rec	40.92	41.34
