group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.14
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.14	0.27
isti	2	مِنَ		0.00	0.00	spread	0.27	0.41
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.41	0.54
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.54	0.68
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	0.68	0.94
header	1	ٱللَّهِ	اللَّهِ	1.00	0.96	rec	0.96	1.42
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.95	rec	1.46	2.40
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.96	rec	2.46	3.84
1	0	وَٱلْعَصْرِ	وَالْعَصْرِ	1.00	0.97	rec	4.56	5.22
2	0	إِنَّ	إِنَّ	1.00	1.00	rec	5.36	6.20
2	1	ٱلْإِنسَٰنَ	الْإِنْسَانَ	1.00	1.00	rec	6.26	8.04
2	2	لَفِى	لَفِي	0.67	1.00	rec	8.16	8.56
2	3	خُسْرٍ	خُسْرٍ	1.00	1.00	rec	8.88	9.32
3	0	إِلَّا	إِلَّا	1.00	1.00	rec	9.92	10.34
3	1	ٱلَّذِينَ	الَّذِينَ	1.00	1.00	rec	10.38	11.06
3	2	ءَامَنُوا۟	آمَنُوا	0.83	0.99	rec	11.18	11.78
3	3	وَعَمِلُوا۟	وَعَمِلُوا	1.00	0.99	rec	11.96	12.54
3	4	ٱلصَّٰلِحَٰتِ	الصَّالِحَاتِ	1.00	0.96	rec	12.60	13.92
3	5	وَتَوَاصَوْا۟	وَتَوَاصَوْا	1.00	0.99	rec	14.02	15.12
3	6	بِٱلْحَقِّ	بِالْحَقِّ	1.00	0.99	rec	15.22	16.04
3	7	وَتَوَاصَوْا۟	وَتَوَاصَوْا	1.00	1.00	rec	16.16	17.46
3	8	بِٱلصَّبْرِ	بِالصَّبْرِ	1.00	0.99	rec	17.58	18.28
