group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.28
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.28	0.57
isti	2	مِنَ		0.00	0.00	spread	0.57	0.85
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.85	1.14
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	1.14	1.42
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.42	1.70
header	1	ٱللَّهِ	اللَّهِ	1.00	0.90	rec	1.72	2.16
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.99	rec	2.18	3.10
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	3.16	4.56
1	0	هَلْ	هَلْ	1.00	1.00	rec	5.64	6.00
1	1	أَتَىٰكَ	أَتَاكَ	0.80	1.00	rec	6.08	7.00
1	2	حَدِيثُ	حَدِيثُ	1.00	1.00	rec	7.18	8.18
1	3	ٱلْغَٰشِيَةِ	الْغَاشِيَةِ	1.00	1.00	rec	8.28	9.90
2	0	وُجُوهٌۭ	وُجُوهٌ	1.00	1.00	rec	10.92	11.70
2	1	يَوْمَئِذٍ	يَوْمَئِذٍ	1.00	0.96	rec	12.50	13.32
2	2	خَٰشِعَةٌ	خَاشِعَةٌ	1.00	1.00	rec	13.72	14.92
3	0	عَامِلَةٌۭ	عَامِلَةٌ	1.00	1.00	rec	15.72	16.80
3	1	نَّاصِبَةٌۭ	نَاصِبَةٌ	1.00	1.00	rec	17.68	18.80
4	0	تَصْلَىٰ	تُصْلَىٰ	1.00	1.00	rec	19.52	20.04
4	1	نَارًا	نَارًا	1.00	1.00	rec	20.40	20.92
4	2	حَامِيَةًۭ	حَامِيَةً	1.00	1.00	rec	21.26	22.26
5	0	تُسْقَىٰ	تُسْقَىٰ	1.00	1.00	rec	23.06	23.54
5	1	مِنْ	مِنْ	1.00	1.00	rec	23.88	24.12
5	2	عَيْنٍ	عَيْنٍ	1.00	0.99	rec	24.20	24.90
5	3	ءَانِيَةٍۢ	آنِيَةٍ	0.80	1.00	rec	25.18	26.02
6	0	لَّيْسَ	لَيْسَ	1.00	0.91	rec	26.88	27.22
6	1	لَهُمْ	لَهُمْ	1.00	1.00	rec	27.30	27.62
6	2	طَعَامٌ	طَعَامٌ	1.00	1.00	rec	27.72	28.24
6	3	إِلَّا	إِلَّا	1.00	1.00	rec	28.52	28.88
6	4	مِن	مِنْ	1.00	1.00	rec	29.10	29.66
6	5	ضَرِيعٍۢ	ضَرِيعٍ	1.00	1.00	rec	29.74	30.68
7	0	لَّا	لَا	1.00	1.00	rec	31.28	31.40
7	1	يُسْمِنُ	يُسْمِنُ	1.00	1.00	rec	31.74	32.42
7	2	وَلَا	وَلَا	1.00	1.00	rec	32.54	32.88
7	3	يُغْنِى	يُغْنِي	0.75	1.00	rec	33.20	33.74
7	4	مِن	مِنْ	1.00	1.00	rec	34.16	34.94
7	5	جُوعٍۢ	جُوعٍ	1.00	1.00	rec	35.08	36.22
8	0	وُجُوهٌۭ	وُجُوهٌ	1.00	1.00	rec	36.74	37.42
8	1	يَوْمَئِذٍۢ	يَوْمَئِذٍ	1.00	1.00	rec	38.12	38.84
8	2	نَّاعِمَةٌۭ	نَاعِمَةٌ	1.00	1.00	rec	39.52	40.32
9	0	لِّسَعْيِهَا	لِسَعْيِهَا	1.00	1.00	rec	41.08	41.96
9	1	رَاضِيَةٌۭ	رَاعَاضِيَةٌ	0.71	0.90	rec	42.22	43.22
10	0	فِى	فِي	0.50	1.00	rec	43.94	44.08
10	1	جَنَّةٍ	جَنَّةٍ	1.00	1.00	rec	44.28	45.46
10	2	عَالِيَةٍۢ	عَالِيَةٍ	1.00	1.00	rec	45.72	46.56
11	0	لَّا	لَا	1.00	1.00	rec	47.38	47.48
11	1	تَسْمَعُ	يُسْمَعُ	0.75	1.00	rec	47.66	48.20
11	2	فِيهَا	فِيهَا	1.00	1.00	rec	48.38	48.88
11	3	لَٰغِيَةًۭ	لَاغِيَةً	1.00	1.00	rec	49.22	50.08
12	0	فِيهَا	فِيهَا	1.00	1.00	rec	50.94	51.38
12	1	عَيْنٌۭ	عَيْنٌ	1.00	1.00	rec	51.64	52.08
12	2	جَارِيَةٌۭ	جَارِيَةٌ	1.00	1.00	rec	52.72	53.72
13	0	فِيهَا	فِيهَا	1.00	1.00	rec	54.48	54.98
13	1	سُرُرٌۭ	سُرُرٌ	1.00	1.00	rec	55.42	55.92
13	2	مَّرْفُوعَةٌۭ	مَرْفُوعَةٌ	1.00	1.00	rec	56.74	57.86
14	0	وَأَكْوَابٌۭ	وَأَكْوَابٌ	1.00	1.00	rec	58.50	59.32
14	1	مَّوْضُوعَةٌۭ	مَوْضُوعَةٌ	1.00	1.00	rec	60.04	61.04
15	0	وَنَمَارِقُ	وَنَمَارِقُ	1.00	1.00	rec	61.78	62.88
15	1	مَصْفُوفَةٌۭ	مَصْفُوفَةٌ	1.00	1.00	rec	63.02	64.18
16	0	وَزَرَابِىُّ	وَزَرَابِيُّ	0.83	0.99	rec	65.14	66.82
16	1	مَبْثُوثَةٌ	مَبْثُوثَةٌ	1.00	0.99	rec	66.96	68.42
17	0	أَفَلَا	أَفَلَا	1.00	1.00	rec	69.44	69.92
17	1	يَنظُرُونَ	يَنْظُرُونَ	1.00	1.00	rec	70.12	71.56
17	2	إِلَى	إِلَى	1.00	0.90	rec	71.70	71.98
17	3	ٱلْإِبِلِ	الْإِبِلِ	1.00	0.99	rec	72.02	72.78
17	4	كَيْفَ	كَيْفَ	1.00	1.00	rec	73.00	73.50
17	5	خُلِقَتْ	خُلِقَتْ	1.00	1.00	rec	73.68	74.42
18	0	وَإِلَى	وَإِلَى	1.00	1.00	rec	74.50	74.94
18	1	ٱلسَّمَآءِ	السَّمَاءِ	1.00	1.00	rec	74.98	77.16
18	2	كَيْفَ	كَيْفَ	1.00	1.00	rec	77.34	77.94
18	3	رُفِعَتْ	رُفِعَتْ	1.00	1.00	rec	78.04	78.76
19	0	وَإِلَى	وَإِلَى	1.00	1.00	rec	79.64	79.96
19	1	ٱلْجِبَالِ	الْجِبَالِ	1.00	1.00	rec	79.98	80.70
19	2	كَيْفَ	كَيْفَ	1.00	1.00	rec	80.86	81.24
19	3	نُصِبَتْ	نُصِبَتْ	1.00	1.00	rec	81.36	82.06
20	0	وَإِلَى	وَإِلَى	1.00	1.00	rec	82.12	82.52
20	1	ٱلْأَرْضِ	الْأَرْضِ	1.00	1.00	rec	82.56	83.16
20	2	كَيْفَ	كَيْفَ	1.00	1.00	rec	83.34	83.74
20	3	سُطِحَتْ	سُطِحَتْ	1.00	1.00	rec	83.88	84.64
21	0	فَذَكِّرْ	فَذَكِّرْ	1.00	1.00	rec	85.36	86.08
21	1	إِنَّمَآ	إِنَّمَا	1.00	1.00	rec	86.14	87.06
21	2	أَنتَ	أَنْتَ	1.00	1.00	rec	87.48	88.44
