group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	forced	0.00	0.14
isti	1	بِٱللَّهِ		0.00	0.00	forced	0.56	0.80
isti	2	مِنَ		0.00	0.00	forced	0.84	0.92
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	forced	0.94	1.18
isti	4	ٱلرَّجِيمِ		0.00	0.00	forced	1.20	1.88
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.88	2.14
header	1	ٱللَّهِ	اللَّهِ	1.00	0.94	rec	2.16	2.80
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.89	rec	2.84	3.82
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	3.88	5.46
1	0	طسٓمٓۚ	طسم	1.00	1.00	rec	6.48	9.66
1	1	تِلْكَ	تِلْكَ	1.00	0.99	rec	12.78	13.08
1	2	ءَايَٰتُ	آيَاتُ	0.80	1.00	rec	13.18	13.92
1	3	ٱلْكِتَٰبِ	الْكِتَابِ	1.00	1.00	rec	13.98	14.92
1	4	ٱلْمُبِينِ	الْمُبِينِ	1.00	1.00	rec	14.96	16.38
2	0	نَتْلُوا۟	نَتْلُو	0.80	1.00	rec	17.20	17.64
2	1	عَلَيْكَ	عَلَيْكَ	1.00	0.98	rec	17.88	18.60
2	2	مِن	مِنْ	1.00	1.00	rec	18.76	19.46
2	3	نَّبَإِ	نَبَإِ	1.00	1.00	rec	19.50	19.98
2	4	مُوسَىٰ	مُوسَىٰ	1.00	1.00	rec	20.12	20.70
2	5	وَفِرْعَوْنَ	وَفِرْعَوْنَ	1.00	1.00	rec	21.00	22.10
2	6	بِٱلْحَقِّ	بِالْحَقِ	1.00	0.99	rec	22.22	22.80
2	7	لِقَوْمٍۢ	َقِلِقَوْمٍ	0.80	0.86	rec	22.82	23.86
2	8	يُؤْمِنُونَ	يُؤْمِنُونَ	1.00	1.00	rec	24.54	26.24
3	0	إِنَّ	إِنَّ	1.00	1.00	rec	27.88	28.58
3	1	فِرْعَوْنَ	فِرْعَوْنَ	1.00	1.00	rec	28.74	29.58
3	2	عَلَا	عَلَى	0.67	0.92	rec	29.70	30.02
3	3	فِى	فِي	1.00	1.00	rec	30.42	30.54
3	4	ٱلْأَرْضِ	الْأَرْضِ	1.00	1.00	rec	30.58	31.36
3	5	وَجَعَلَ	وَجَعَلَ	1.00	1.00	rec	31.50	32.24
3	6	أَهْلَهَا	أَهْلَهَا	1.00	1.00	rec	32.38	33.08
3	7	شِيَعًۭا	شِيَعًا	1.00	0.97	rec	33.54	34.14
3	8	يَسْتَضْعِفُ	يَسْتَضْعِفُ	1.00	1.00	rec	35.32	36.46
3	9	طَآئِفَةًۭ	ضَائِفَةً	0.80	1.00	rec	36.68	38.98
3	10	مِّنْهُمْ	مِنْهُمْ	1.00	1.00	rec	39.86	40.62
3	11	يُذَبِّحُ	يُذَبِّحُ	1.00	1.00	rec	41.48	42.28
3	12	أَبْنَآءَهُمْ	أَبْنَاءَهُمْ	1.00	1.00	rec	42.48	44.74
3	13	وَيَسْتَحْىِۦ	وَيَسْتَحْيِي	0.86	1.00	rec	44.86	46.00
3	14	نِسَآءَهُمْۚ	نِسَاءَهُمْ	1.00	1.00	rec	46.40	48.88
3	15	إِنَّهُۥ	إِنَّهُ	1.00	1.00	rec	49.50	50.60
3	16	كَانَ	كَانَ	1.00	1.00	rec	51.04	51.56
3	17	مِنَ	مِنَ	1.00	1.00	rec	51.68	51.94
3	18	ٱلْمُفْسِدِينَ	الْمُهْفِ+سِدِينَ	0.89	0.83	rec	51.98	54.08
4	0	وَنُرِيدُ	وَنُرِيدُ	1.00	1.00	rec	54.98	55.86
4	1	أَن	أَنْ	1.00	1.00	rec	56.00	56.68
4	2	نَّمُنَّ	نَمُنَّ	1.00	1.00	rec	56.72	57.76
4	3	عَلَى	عَلَى	1.00	1.00	rec	57.92	58.20
4	4	ٱلَّذِينَ	الَّذِينَ	1.00	0.96	rec	58.24	59.14
4	5	ٱسْتُضْعِفُوا۟	اسْتُضْعِفُوا	1.00	1.00	rec	59.20	60.30
4	6	فِى	فِي	1.00	1.00	rec	60.68	60.80
4	7	ٱلْأَرْضِ	الْأَرْضِ	1.00	1.00	rec	60.86	61.56
4	8	وَنَجْعَلَهُمْ	وَنَجْعَلَهُمْ	1.00	1.00	rec	61.70	63.06
4	9	أَئِمَّةًۭ	أَئِمَّةً	1.00	0.85	rec	63.14	64.48
4	10	وَنَجْعَلَهُمُ	وَنَجْعَلَهُمُ	1.00	1.00	rec	65.30	66.56
4	11	ٱلْوَٰرِثِينَ	الْوَارِثِينَ	1.00	0.99	rec	66.64	68.78
5	0	وَنُمَكِّنَ	وَنُمَكِّنَ	1.00	1.00	rec	69.98	70.98
5	1	لَهُمْ	لَهُمْ	1.00	1.00	rec	71.10	71.56
5	2	فِى	فِي	1.00	1.00	rec	71.66	71.76
5	3	ٱلْأَرْضِ	الْأَرْضِ	1.00	1.00	rec	71.80	72.40
5	4	وَنُرِىَ	وَنُدِيَ	0.75	1.00	rec	73.20	73.84
5	5	فِرْعَوْنَ	فِرْعَوْنَ	1.00	1.00	rec	74.00	74.84
5	6	وَهَٰمَٰنَ	وَهَامَانَ	1.00	0.97	rec	74.94	76.22
5	7	وَجُنُودَهُمَا	وَجُنُودَهُمَا	1.00	1.00	rec	76.32	77.68
5	8	مِنْهُم	مِنْهُمْ	1.00	1.00	rec	78.02	78.96
5	9	مَّا	مَا	1.00	1.00	rec	79.02	79.16
5	10	كَانُوا۟	كَانُوا	1.00	1.00	rec	79.52	80.04
5	11	يَحْذَرُونَ	يَحْذَرُونَ	1.00	1.00	rec	80.40	82.20
6	0	وَأَوْحَيْنَآ	وَأَوْحَيْنَا	1.00	1.00	rec	84.16	85.32
6	1	إِلَىٰٓ	إِلَىٰ	1.00	1.00	rec	85.78	86.12
6	2	أُمِّ	أُمِّ	1.00	0.97	rec	86.44	86.94
6	3	مُوسَىٰٓ	مُوسَىٰ	1.00	1.00	rec	87.10	87.70
6	4	أَنْ	أَنْ	1.00	1.00	rec	88.12	88.50
6	5	أَرْضِعِيهِۖ	أَرْضِعِيهِ	1.00	1.00	rec	88.58	89.88
6	6	فَإِذَا	فَإِذَا	1.00	1.00	rec	91.28	91.86
6	7	خِفْتِ	خِفْتِ	1.00	1.00	rec	92.24	92.68
6	8	عَلَيْهِ	عَلَيْهِ	1.00	1.00	rec	92.86	93.60
6	9	فَأَلْقِيهِ	فَأَلْقِيهِ	1.00	1.00	rec	93.84	94.96
6	10	فِى	فِي	1.00	1.00	rec	95.12	95.24
6	11	ٱلْيَمِّ	الْيَمِّ	1.00	1.00	rec	95.28	96.30
6	12	وَلَا	وَلَا	1.00	1.00	rec	96.44	96.76
6	13	تَخَافِى	تَخَافِي	1.00	1.00	rec	97.08	98.06
6	14	وَلَا	وَلَا	1.00	1.00	rec	98.32	98.66
6	15	تَحْزَنِىٓۖ	تَحْزَنِي	1.00	1.00	rec	99.06	99.88
6	16	إِنَّا	إِنَّا	1.00	1.00	rec	100.90	101.92
6	17	رَآدُّوهُ	رَادُّوهُ	1.00	1.00	rec	102.34	105.08
6	18	إِلَيْكِ	إِلَيْكِ	1.00	1.00	rec	105.30	105.96
6	19	وَجَاعِلُوهُ	وَجَاعِلُوهُ	1.00	1.00	rec	106.08	107.42
6	20	مِنَ	مِنَ	1.00	1.00	rec	107.58	107.84
6	21	ٱلْمُرْسَلِينَ	الْمُرْسَلِينَ	1.00	1.00	rec	107.88	110.02
7	0	فَٱلْتَقَطَهُۥٓ	فَالْتَقَطَهُ	1.00	1.00	rec	110.82	112.06
7	1	ءَالُ	آلُ	0.67	1.00	rec	112.80	113.26
7	2	فِرْعَوْنَ	فِرْعَوْنَ	1.00	1.00	rec	113.48	114.30
7	3	لِيَكُونَ	لِيَكُونَ	1.00	1.00	rec	114.42	115.24
7	4	لَهُمْ	لَهُمْ	1.00	1.00	rec	115.34	115.86
7	5	عَدُوًّۭا	عَدُوًّا	1.00	1.00	rec	115.96	116.66
7	6	وَحَزَنًاۗ	وَحَزَنًا	1.00	1.00	rec	117.30	118.16
7	7	إِنَّ	إِنَّ	1.00	1.00	rec	119.14	119.88
7	8	فِرْعَوْنَ	فِرْعَوْنَ	1.00	1.00	rec	120.04	120.94
7	9	وَهَٰمَٰنَ	وَهَامَانَ	1.00	1.00	rec	121.06	122.28
7	10	وَجُنُودَهُمَا	وَجُنُودَهُمَا	1.00	1.00	rec	122.40	123.86
7	11	كَانُوا۟	كَانُوا	1.00	0.99	rec	124.24	124.80
