group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.26
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.26	0.53
isti	2	مِنَ		0.00	0.00	spread	0.53	0.79
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.79	1.06
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	1.06	1.32
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.32	1.56
header	1	ٱللَّهِ	اللَّهِ	1.00	0.90	rec	1.58	2.00
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	1.00	rec	2.04	3.02
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.96	rec	3.06	4.60
1	0	وَٱلسَّمَآءِ	وَالسَّمَاءِ	1.00	0.96	rec	5.62	7.68
1	1	وَٱلطَّارِقِ	طَارِقِ	0.57	0.80	rec	8.18	9.04
2	0	وَمَآ	وَمَا	1.00	0.88	rec	9.80	10.16
2	1	أَدْرَىٰكَ	أَدْرِيكَ	0.67	0.93	rec	10.52	11.38
2	2	مَا	مَا	1.00	1.00	rec	11.48	11.58
2	3	ٱلطَّارِقُ	الطَّارِقُ	1.00	1.00	rec	11.64	12.72
3	0	ٱلنَّجْمُ	النَّجْمُ	1.00	1.00	rec	12.80	14.00
3	1	ٱلثَّاقِبُ	الثَّاقِبُ	1.00	1.00	rec	14.08	15.16
4	0	إِن	إِنْ	1.00	1.00	rec	15.94	16.70
4	1	كُلُّ	كُلُّ	1.00	1.00	rec	16.80	17.16
4	2	نَفْسٍۢ	نَفْسٍ	1.00	1.00	rec	17.28	17.66
4	3	لَّمَّا	لَمَا	1.00	1.00	rec	17.90	18.22
4	4	عَلَيْهَا	عَلَيْهَا	1.00	1.00	rec	18.50	19.28
4	5	حَافِظٌۭ	حَافِظٌ	1.00	1.00	rec	19.70	20.58
5	0	فَلْيَنظُرِ	فَلْيَنْظُرِ	1.00	1.00	rec	21.50	23.06
5	1	ٱلْإِنسَٰنُ	الْإِنْسَانُ	1.00	1.00	rec	23.12	24.90
5	2	مِمَّ	مِمَّ	1.00	1.00	rec	25.06	26.04
5	3	خُلِقَ	خُلِقَ	1.00	1.00	rec	26.24	26.76
6	0	خُلِقَ	خُلِقَ	1.00	1.00	rec	27.34	27.86
6	1	مِن	مِنْ	1.00	1.00	rec	28.00	28.64
6	2	مَّآءٍۢ	مَاءٍ	1.00	1.00	rec	28.70	30.30
6	3	دَافِقٍۢ	دَافِقٍ	1.00	1.00	rec	31.00	31.92
7	0	يَخْرُجُ	يَخْرُجُ	1.00	1.00	rec	32.54	33.20
7	1	مِنۢ	مِنْ	1.00	1.00	rec	33.34	33.98
7	2	بَيْنِ	بَيْنِ	1.00	1.00	rec	34.06	34.48
7	3	ٱلصُّلْبِ	الصُّلْبِ	1.00	1.00	rec	34.54	35.24
7	4	وَٱلتَّرَآئِبِ	وَالتَّرَائِبِ	1.00	1.00	rec	35.34	37.76
8	0	إِنَّهُۥ	إِنَّهُ	0.75	1.00	rec	38.32	39.60
8	1	عَلَىٰ	عَلَىٰ	1.00	0.98	rec	39.98	40.30
8	2	رَجْعِهِۦ	رَدْعِهِ	0.60	0.99	rec	40.54	41.24
8	3	لَقَادِرٌۭ	لَقَادِرٌ	1.00	1.00	rec	41.56	42.52
9	0	يَوْمَ	يَوْمَ	1.00	1.00	rec	43.14	43.48
9	1	تُبْلَى	تُبْلَى	1.00	1.00	rec	43.68	44.08
9	2	ٱلسَّرَآئِرُ	السَّرَائِرُ	1.00	1.00	rec	44.14	46.58
10	0	فَمَا	فَمَعَ	0.67	0.99	rec	47.00	47.50
10	1	لَهُۥ	لَهُ	0.67	1.00	rec	47.68	47.96
10	2	مِن	مِنْ	1.00	1.00	rec	48.36	49.04
10	3	قُوَّةٍۢ	قُوَّةٍ	1.00	1.00	rec	49.16	49.88
10	4	وَلَا	وَلَا	1.00	1.00	rec	50.62	50.96
10	5	نَاصِرٍۢ	نَاصِرٍ	1.00	1.00	rec	51.28	52.04
11	0	وَٱلسَّمَآءِ	وَالسَّمَاءِ	1.00	1.00	rec	52.48	54.72
11	1	ذَاتِ	ذَاتِ	1.00	1.00	rec	54.84	55.36
11	2	ٱلرَّجْعِ	الرَّجْعِ	1.00	0.99	rec	55.42	56.06
12	0	وَٱلْأَرْضِ	وَالْأَرْضِ	1.00	1.00	rec	56.56	57.40
12	1	ذَاتِ	ذَاتِ	1.00	1.00	rec	57.54	58.10
12	2	ٱلصَّدْعِ	الصَّدْعِ	1.00	1.00	rec	58.16	58.82
13	0	إِنَّهُۥ	إِنَّهُ	0.75	0.98	rec	59.44	60.82
13	1	لَقَوْلٌۭ	لَقَوْلٌ	1.00	1.00	rec	61.14	61.86
13	2	فَصْلٌۭ	فَصْلٌ	1.00	1.00	rec	62.64	63.12
14	0	وَمَا	وَمَعَ	0.67	1.00	rec	63.64	64.14
14	1	هُوَ	هُوَ	1.00	1.00	rec	64.34	64.64
14	2	بِٱلْهَزْلِ	بِالْهَزْلِ	1.00	1.00	rec	64.78	65.78
15	0	إِنَّهُمْ	إِنَّهُمْ	1.00	0.99	rec	66.32	67.66
15	1	يَكِيدُونَ	يَكِيدُونَ	1.00	1.00	rec	67.74	68.86
15	2	كَيْدًۭا	كَيْدًا	1.00	1.00	rec	69.06	69.58
15	3	وَأَكِيدُ	وَأَكِيدُ	1.00	1.00	rec	70.16	71.26
