group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ	أَعُوذُ	1.00	1.00	rec	0.90	1.44
isti	1	بِٱللَّهِ	بِاللَّهِ	1.00	1.00	rec	1.60	2.42
isti	2	مِنَ	مِنَ	1.00	1.00	rec	2.54	2.74
isti	3	ٱلشَّيْطَٰنِ	الشَّيْطَانِ	1.00	1.00	rec	2.78	3.92
isti	4	ٱلرَّجِيمِ	الرَّجِيمِ	1.00	1.00	rec	3.96	5.80
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	7.62	8.00
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	8.06	8.78
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.99	rec	8.84	10.04
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	10.08	12.32
1	0	ٱلْحَمْدُ	الْحَمْدُ	1.00	1.00	rec	14.12	15.08
1	1	لِلَّهِ	لِلَّهِ	1.00	1.00	rec	15.22	16.16
1	2	رَبِّ	رَبِّ	1.00	1.00	rec	16.30	16.76
1	3	ٱلْعَٰلَمِينَ	الْعَالَمِينَ	1.00	1.00	rec	16.82	19.32
2	0	ٱلرَّحْمَٰنِ	الرَّحْمَـٰنِ	1.00	0.99	rec	21.10	22.42
2	1	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.99	rec	22.46	24.76
3	0	مَٰلِكِ	مَلِكِ	0.75	1.00	rec	26.26	26.80
3	1	يَوْمِ	يَوْمِ	1.00	1.00	rec	26.96	27.58
3	2	ٱلدِّينِ	الدِّينِ	1.00	1.00	rec	27.66	29.76
4	0	إِيَّاكَ	إِيَّاكَ	1.00	0.98	rec	31.56	32.50
4	1	نَعْبُدُ	نَعْبُدُ	1.00	1.00	rec	32.64	33.32
4	2	وَإِيَّاكَ	وَإِيَّاكَ	1.00	1.00	rec	33.44	34.78
4	3	نَسْتَعِينُ	نَسْتَعِينُ	1.00	0.99	rec	34.90	37.26
5	0	ٱهْدِنَا	اهْدِنَا	1.00	1.00	rec	38.76	39.30
5	1	ٱلصِّرَٰطَ	الصِّرَاطَ	1.00	1.00	rec	39.36	40.30
5	2	ٱلْمُسْتَقِيمَ	الْمُسْتَقِيمَ	1.00	1.00	rec	40.36	43.12
6	0	صِرَٰطَ	صِرَاطَ	1.00	1.00	rec	44.60	45.34
6	1	ٱلَّذِينَ	الَّذِينَ	1.00	0.99	rec	45.42	46.44
6	2	أَنْعَمْتَ	أَنْعَمْتَ	1.00	1.00	rec	46.64	47.58
6	3	عَلَيْهِمْ	عَلَيْهِمْ	1.00	1.00	rec	47.72	48.92
7	0	غَيْرِ	غَيْرِ	1.00	0.99	rec	50.36	50.90
7	1	ٱلْمَغْضُوبِ	الْمَغْضُوبِ	1.00	1.00	rec	50.98	52.40
7	2	عَلَيْهِمْ	عَلَيْهِمْ	1.00	0.97	rec	52.58	53.84
7	3	وَلَا	وَلَا	1.00	0.99	rec	54.00	54.34
7	4	ٱلضَّآلِّينَ	الضَّالِّينَ	1.00	0.98	rec	54.40	61.12
