group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.24
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.24	0.47
isti	2	مِنَ		0.00	0.00	spread	0.47	0.71
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.71	0.94
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.94	1.18
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.18	1.42
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	1.44	1.88
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	0.96	rec	1.92	2.76
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	2.80	4.28
1	0	سَبَّحَ	سَبَّحَ	1.00	1.00	rec	5.20	5.76
1	1	لِلَّهِ	لِلَّهِ	1.00	1.00	rec	5.88	6.56
1	2	مَا	مَا	1.00	1.00	rec	6.68	6.78
1	3	فِى	فِي	0.50	1.00	rec	7.02	7.12
1	4	ٱلسَّمَٰوَٰتِ	السَّمَاوَاتِ	1.00	1.00	rec	7.16	8.34
1	5	وَمَا	وَمَا	1.00	1.00	rec	8.44	8.74
1	6	فِى	فِي	0.50	1.00	rec	9.04	9.16
1	7	ٱلْأَرْضِۖ	الْأَرْضِ	1.00	1.00	rec	9.20	9.84
1	8	وَهُوَ	وَهُوَ	1.00	1.00	rec	9.96	10.34
1	9	ٱلْعَزِيزُ	الْعَزِيزُ	1.00	1.00	rec	10.38	11.30
1	10	ٱلْحَكِيمُ	الْحَكِيمُ	1.00	1.00	rec	11.36	12.72
2	0	هُوَ	هُوَ	1.00	1.00	rec	13.82	14.00
2	1	ٱلَّذِىٓ	الَّذِي	0.75	1.00	rec	14.06	14.50
2	2	أَخْرَجَ	أَخْرَجَ	1.00	1.00	rec	14.82	15.42
2	3	ٱلَّذِينَ	الَّذِينَ	1.00	0.99	rec	15.46	16.18
2	4	كَفَرُوا۟	كَفَرُوا	1.00	1.00	rec	16.36	16.86
2	5	مِنْ	مِنْ	1.00	1.00	rec	17.14	17.40
