group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.24
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.24	0.48
isti	2	مِنَ		0.00	0.00	spread	0.48	0.72
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.72	0.96
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.96	1.20
header	0	بِسۡمِ	بِسْمِ	1.00	0.99	rec	1.20	1.46
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	1.50	2.08
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰعنِ	0.88	0.94	rec	2.12	3.34
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	1.00	rec	3.38	4.58
1	0	إِذَا	إِذَا	1.00	1.00	rec	5.58	5.88
1	1	زُلْزِلَتِ	زُلْزِلَتِ	1.00	1.00	rec	6.22	7.06
1	2	ٱلْأَرْضُ	الْأَرْضُ	1.00	1.00	rec	7.10	7.76
1	3	زِلْزَالَهَا	زِلْزَالَهَا	1.00	1.00	rec	7.90	8.98
2	0	وَأَخْرَجَتِ	وَأَخْرَجْتِ	1.00	0.96	rec	10.00	10.96
2	1	ٱلْأَرْضُ	الْأَرْضُ	1.00	1.00	rec	11.02	11.70
2	2	أَثْقَالَهَا	أَثْقَالَهَا	1.00	1.00	rec	11.84	12.94
3	0	وَقَالَ	وَقَالَ	1.00	1.00	rec	13.26	13.98
3	1	ٱلْإِنسَٰنُ	الْإِنْسَانُ	1.00	1.00	rec	14.04	15.66
3	2	مَا	مَعَ	0.50	0.99	rec	15.80	16.12
3	3	لَهَا	لَهَا	1.00	1.00	rec	16.26	16.56
4	0	يَوْمَئِذٍۢ	يَوْمَئِذٍ	1.00	1.00	rec	17.64	18.40
4	1	تُحَدِّثُ	تُحَدِّثُ	1.00	0.95	rec	19.18	20.18
4	2	أَخْبَارَهَا	أَخْبَارَهَا	1.00	1.00	rec	20.34	21.56
5	0	بِأَنَّ	بِأَنَّ	1.00	1.00	rec	22.40	23.56
5	1	رَبَّكَ	رَبَّكَ	1.00	0.99	rec	23.70	24.36
5	2	أَوْحَىٰ	أَوْحَىٰ	1.00	1.00	rec	24.50	25.10
5	3	لَهَا	لَهَا	1.00	1.00	rec	25.38	25.70
6	0	يَوْمَئِذٍۢ	يَوْمَئِذٍ	1.00	1.00	rec	26.78	27.62
6	1	يَصْدُرُ	يَصْدُرُ	1.00	0.97	rec	28.34	28.96
6	2	ٱلنَّاسُ	النَّاسُ	1.00	1.00	rec	29.04	30.02
6	3	أَشْتَاتًۭا	أَشْتَعاتًا	0.86	0.86	rec	30.12	31.10
6	4	لِّيُرَوْا۟	لِيُرَوْا	1.00	1.00	rec	31.38	32.00
6	5	أَعْمَٰلَهُمْ	أَعْمَالَهُمْ	1.00	1.00	rec	32.14	33.54
7	0	فَمَن	فَمَنْ	1.00	1.00	rec	34.24	35.22
7	1	يَعْمَلْ	يَعْمَلْ	1.00	1.00	rec	35.28	35.96
7	2	مِثْقَالَ	مِثْقَالَ	1.00	1.00	rec	36.04	36.88
7	3	ذَرَّةٍ	ذَرَّةٍ	1.00	1.00	rec	37.04	37.70
7	4	خَيْرًۭا	خَيْرًا	1.00	1.00	rec	38.04	38.62
7	5	يَرَهُۥ	يَرَهُ	1.00	1.00	rec	39.32	39.70
8	0	وَمَن	وَمَنْ	1.00	1.00	rec	40.44	41.40
8	1	يَعْمَلْ	يَعْمَلْ	1.00	1.00	rec	41.44	42.10
8	2	مِثْقَالَ	مِثْقَالَ	1.00	1.00	rec	42.18	43.08
8	3	ذَرَّةٍۢ	ذَرَّةٍ	1.00	0.98	rec	43.24	43.92
8	4	شَرًّۭا	شَرًّا	1.00	1.00	rec	44.60	45.06
8	5	يَرَهُۥ	يَرَهُ	1.00	1.00	rec	46.06	46.50
