group	word	mushaf	heard	sim	prob	how	t0	t1
isti	0	أَعُوذُ		0.00	0.00	spread	0.00	0.24
isti	1	بِٱللَّهِ		0.00	0.00	spread	0.24	0.49
isti	2	مِنَ		0.00	0.00	spread	0.49	0.73
isti	3	ٱلشَّيْطَٰنِ		0.00	0.00	spread	0.73	0.98
isti	4	ٱلرَّجِيمِ		0.00	0.00	spread	0.98	1.22
header	0	بِسۡمِ	بِسْمِ	1.00	1.00	rec	1.22	1.50
header	1	ٱللَّهِ	اللَّهِ	1.00	1.00	rec	1.52	1.98
header	2	ٱلرَّحۡمَٰنِ	الرَّحْمَـٰنِ	1.00	1.00	rec	2.02	3.20
header	3	ٱلرَّحِيمِ	الرَّحِيمِ	1.00	0.99	rec	3.22	4.38
1	0	إِذَا	إِذَا	1.00	1.00	rec	5.58	5.82
1	1	ٱلسَّمَآءُ	السَّمَاءُ	1.00	1.00	rec	5.86	8.40
1	2	ٱنشَقَّتْ	انْشَقَّتْ	1.00	0.97	rec	8.46	10.24
2	0	وَأَذِنَتْ	وَأَذنَتْ	1.00	0.73	rec	11.48	12.24
2	1	لِرَبِّهَا	لِرَبِّهَا	1.00	0.97	rec	12.30	13.12
2	2	وَحُقَّتْ	وَحُقَّتْ	1.00	0.97	rec	13.44	14.44
3	0	وَإِذَا	وَإِذَا	1.00	1.00	rec	14.50	15.02
3	1	ٱلْأَرْضُ	الْأَرْضُ	1.00	0.98	rec	15.06	15.70
3	2	مُدَّتْ	مُدَّتْ	1.00	1.00	rec	15.84	16.50
4	0	وَأَلْقَتْ	وَأَلْقَتْ	1.00	1.00	rec	16.56	17.42
4	1	مَا	مَا	1.00	1.00	rec	17.50	17.62
4	2	فِيهَا	فِيهَا	1.00	1.00	rec	17.92	18.42
4	3	وَتَخَلَّتْ	وَتَخَلَّتْ	1.00	1.00	rec	18.78	19.96
5	0	وَأَذِنَتْ	وَأَذِنَتْ	1.00	0.99	rec	20.02	20.88
5	1	لِرَبِّهَا	لِرَبِّهَا	1.00	0.90	rec	20.94	21.74
5	2	وَحُقَّتْ	قَتْ	0.50	0.98	rec	22.82	23.16
6	0	يَٰٓأَيُّهَا	يَا+أَيُّهَا	1.00	1.00	rec	24.24	25.32
6	1	ٱلْإِنسَٰنُ	الْإِنْسَانُ	1.00	1.00	rec	25.36	26.98
6	2	إِنَّكَ	إِنَّكَ	1.00	0.97	rec	27.12	28.16
6	3	كَادِحٌ	كَادِحٌ	1.00	1.00	rec	28.34	29.04
6	4	إِلَىٰ	إِلَىٰ	1.00	1.00	rec	29.38	29.66
6	5	رَبِّكَ	رَبِّكَ	1.00	1.00	rec	29.88	30.52
6	6	كَدْحًۭا	كَدْحًا	1.00	1.00	rec	30.70	31.20
6	7	فَمُلَٰقِيهِ	فَمُلَاقِيهِ	1.00	1.00	rec	31.90	33.62
7	0	فَأَمَّا	فَأَمَّا	1.00	1.00	rec	34.94	36.22
7	1	مَنْ	مَنْ	1.00	1.00	rec	36.64	36.94
7	2	أُوتِىَ	أُوتِيَ	1.00	1.00	rec	37.04	37.78
7	3	كِتَٰبَهُۥ	كِتَابَهُ	1.00	1.00	rec	37.92	38.96
7	4	بِيَمِينِهِۦ	بِيَمِينِهِ	1.00	1.00	rec	39.40	40.60
8	0	فَسَوْفَ	فَسَوْفَ	1.00	1.00	rec	40.96	41.70
8	1	يُحَاسَبُ	يُحَاسَبُ	1.00	1.00	rec	41.82	42.76
8	2	حِسَابًۭا	حِسَابًا	1.00	1.00	rec	42.92	43.66
8	3	يَسِيرًۭا	يَسِيرًا	1.00	1.00	rec	44.40	45.16
9	0	وَيَنقَلِبُ	وَيَنْقَلِبُ	1.00	1.00	rec	46.32	47.92
9	1	إِلَىٰٓ	إِلَىٰ	1.00	1.00	rec	48.10	48.44
9	2	أَهْلِهِۦ	أَهْلِهِ	1.00	1.00	rec	48.88	49.54
9	3	مَسْرُورًۭا	مَسْرُورًا	1.00	1.00	rec	49.94	50.84
10	0	وَأَمَّا	وَأَمَّا	1.00	0.99	rec	52.50	53.68
10	1	مَنْ	مَنْ	1.00	1.00	rec	54.02	54.30
10	2	أُوتِىَ	أُوتِيَ	1.00	1.00	rec	54.36	55.02
10	3	كِتَٰبَهُۥ	كِتَابَهُ	1.00	1.00	rec	55.18	56.14
10	4	وَرَآءَ	وَرَاءَ	1.00	1.00	rec	56.40	58.22
10	5	ظَهْرِهِۦ	ظَهْرِهِ	1.00	1.00	rec	58.38	59.12
11	0	فَسَوْفَ	فَسَوْفَ	1.00	1.00	rec	59.46	60.16
11	1	يَدْعُوا۟	يَدْعُو	0.80	1.00	rec	60.28	60.76
11	2	ثُبُورًۭا	ثُبُورًا	1.00	1.00	rec	61.08	61.90
12	0	وَيَصْلَىٰ	وَيَصْلَىٰ	1.00	1.00	rec	62.96	63.64
12	1	سَعِيرًا	سَعِيرًا	1.00	1.00	rec	64.00	64.78
13	0	إِنَّهُۥ	إِنَّهُ	1.00	1.00	rec	65.76	66.86
13	1	كَانَ	كَانَ	1.00	1.00	rec	67.30	67.80
13	2	فِىٓ	فِي	1.00	1.00	rec	67.98	68.14
13	3	أَهْلِهِۦ	أَهْلِهِ	1.00	1.00	rec	68.72	69.38
13	4	مَسْرُورًا	مَسْرُورًا	1.00	1.00	rec	69.78	70.74
14	0	إِنَّهُۥ	إِنَّهُ	1.00	1.00	rec	71.80	72.92
14	1	ظَنَّ	ظَنَّ	1.00	1.00	rec	73.24	74.06
14	2	أَن	عَنْ	0.50	0.98	rec	74.22	74.56
14	3	لَّن	لَنْ	1.00	1.00	rec	74.64	75.40
14	4	يَحُورَ	يَحُورَ	1.00	1.00	rec	75.46	76.56
15	0	بَلَىٰٓ	بَلَىٰ	1.00	1.00	rec	77.28	77.60
15	1	إِنَّ	إِنَّ	1.00	0.95	rec	77.96	78.84
15	2	رَبَّهُۥ	رَبَّهُ	1.00	1.00	rec	79.00	79.64
15	3	كَانَ	كَانَ	1.00	1.00	rec	80.10	80.62
15	4	بِهِۦ	بِهِ	1.00	0.99	rec	80.76	81.08
15	5	بَصِيرًۭا	بَصِيرًا	1.00	1.00	rec	81.46	82.26
16	0	فَلَآ	فَلَا	1.00	1.00	rec	83.40	83.74
16	1	أُقْسِمُ	أُقْسِمُ	1.00	1.00	rec	84.32	85.14
16	2	بِٱلشَّفَقِ	بِالشَّفَقِ	1.00	0.99	rec	85.30	86.28
17	0	وَٱلَّيْلِ	وَاللَّيْلِ	0.83	1.00	rec	86.46	87.34
17	1	وَمَا	وَمَا	1.00	1.00	rec	87.50	87.86
